Time,id,iq,Te,omega_m
0.044,1.185,7.114,4.219,17.875
0.044,1.184,7.111,4.218,17.912
0.044,1.183,7.108,4.216,17.949
0.044,1.182,7.106,4.215,17.986
0.045,1.181,7.103,4.213,18.024
0.045,1.180,7.100,4.211,18.061
0.045,1.179,7.098,4.210,18.098
0.045,1.178,7.095,4.208,18.135
0.045,1.177,7.093,4.207,18.172
0.045,1.176,7.090,4.205,18.209
0.045,1.175,7.088,4.204,18.246
0.045,1.174,7.085,4.203,18.283
0.045,1.173,7.083,4.201,18.320
0.045,1.172,7.080,4.200,18.357
0.046,1.171,7.078,4.198,18.394
0.046,1.170,7.076,4.197,18.431
0.046,1.169,7.073,4.196,18.468
0.046,1.169,7.071,4.194,18.505
0.046,1.168,7.069,4.193,18.542
0.046,1.167,7.067,4.192,18.579
0.046,1.166,7.064,4.191,18.616
0.046,1.165,7.062,4.189,18.653
0.046,1.164,7.060,4.188,18.689
0.046,1.163,7.058,4.187,18.726
0.047,1.162,7.056,4.186,18.763
0.047,1.162,7.054,4.184,18.800
0.047,1.161,7.052,4.183,18.837
0.047,1.160,7.050,4.182,18.874
0.047,1.159,7.048,4.181,18.911
0.047,1.158,7.046,4.180,18.947
0.047,1.158,7.044,4.179,18.984
0.047,1.157,7.042,4.178,19.021
0.047,1.156,7.041,4.177,19.058
0.047,1.155,7.039,4.176,19.094
0.048,1.154,7.037,4.174,19.131
0.048,1.154,7.035,4.173,19.168
0.048,1.153,7.034,4.172,19.205
0.048,1.152,7.032,4.171,19.241
0.048,1.152,7.030,4.170,19.278
0.048,1.151,7.028,4.170,19.315
0.048,1.150,7.027,4.169,19.351
0.048,1.149,7.025,4.168,19.388
0.048,1.149,7.024,4.167,19.425
0.048,1.148,7.022,4.166,19.461
0.049,1.147,7.021,4.165,19.498
0.049,1.147,7.019,4.164,19.535
0.049,1.146,7.017,4.163,19.571
0.049,1.145,7.016,4.162,19.608
0.049,1.145,7.015,4.161,19.645
0.049,1.144,7.013,4.161,19.681
0.049,1.144,7.012,4.160,19.718
0.049,1.143,7.010,4.159,19.754
0.049,1.142,7.009,4.158,19.791
0.049,1.142,7.008,4.157,19.828
0.050,1.141,7.006,4.157,19.864
0.050,1.141,7.005,4.156,19.901
0.050,1.140,7.004,4.155,19.937
0.050,1.140,7.002,4.154,19.974
0.050,1.139,7.001,4.154,20.010
0.050,1.139,7.000,4.153,20.047
0.050,1.138,6.999,4.152,20.083
0.050,1.137,6.997,4.151,20.120
0.050,1.137,6.996,4.151,20.156
0.050,1.136,6.995,4.150,20.193
0.051,1.136,6.994,4.149,20.229
0.051,1.136,6.993,4.149,20.266
0.051,1.135,6.992,4.148,20.302
0.051,1.135,6.991,4.147,20.339
0.051,1.134,6.990,4.147,20.375
0.051,1.134,6.989,4.146,20.412
0.051,1.133,6.988,4.146,20.448
0.051,1.133,6.987,4.145,20.485
0.051,1.132,6.985,4.144,20.521
0.051,1.132,6.985,4.144,20.557
0.052,1.132,6.984,4.143,20.594
0.052,1.131,6.983,4.143,20.630
0.052,1.131,6.982,4.142,20.667
0.052,1.130,6.981,4.142,20.703
0.052,1.130,6.980,4.141,20.740
0.052,1.130,6.979,4.141,20.776
0.052,1.129,6.978,4.140,20.812
0.052,1.129,6.977,4.140,20.849
0.052,1.129,6.976,4.139,20.885
0.052,1.128,6.975,4.139,20.922
0.053,1.128,6.975,4.138,20.958
0.053,1.128,6.974,4.138,20.994
0.053,1.127,6.973,4.137,21.031
0.053,1.127,6.972,4.137,21.067
0.053,1.127,6.971,4.136,21.103
0.053,1.126,6.971,4.136,21.140
0.053,1.126,6.970,4.135,21.176
0.053,1.126,6.969,4.135,21.212
0.053,1.126,6.968,4.134,21.249
0.053,1.125,6.968,4.134,21.285
0.054,1.125,6.967,4.134,21.322
0.054,1.125,6.966,4.133,21.358
0.054,1.125,6.966,4.133,21.394
0.054,1.124,6.965,4.132,21.430
0.054,1.124,6.964,4.132,21.467
0.054,1.124,6.964,4.132,21.503
0.054,1.124,6.963,4.131,21.539
0.054,1.124,6.962,4.131,21.576
0.054,1.123,6.962,4.130,21.612
0.054,1.123,6.961,4.130,21.648
0.055,1.123,6.961,4.130,21.685
0.055,1.123,6.960,4.129,21.721
0.055,1.123,6.959,4.129,21.757
0.055,1.123,6.959,4.129,21.794
0.055,1.122,6.958,4.128,21.830
0.055,1.122,6.958,4.128,21.866
0.055,1.122,6.957,4.128,21.902
0.055,1.122,6.957,4.127,21.939
0.055,1.122,6.956,4.127,21.975
0.055,1.122,6.956,4.127,22.011
0.056,1.122,6.955,4.127,22.047
0.056,1.122,6.955,4.126,22.084
0.056,1.121,6.954,4.126,22.120
0.056,1.121,6.954,4.126,22.156
0.056,1.121,6.953,4.125,22.192
0.056,1.121,6.953,4.125,22.229
0.056,1.121,6.952,4.125,22.265
0.056,1.121,6.952,4.125,22.301
0.056,1.121,6.951,4.124,22.337
0.056,1.121,6.951,4.124,22.374
0.057,1.121,6.950,4.124,22.410
0.057,1.121,6.950,4.124,22.446
0.057,1.121,6.950,4.123,22.482
0.057,1.121,6.949,4.123,22.519
0.057,1.121,6.949,4.123,22.555
0.057,1.121,6.948,4.123,22.591
0.057,1.121,6.948,4.122,22.627
0.057,1.121,6.948,4.122,22.664
0.057,1.121,6.947,4.122,22.700
0.057,1.121,6.947,4.122,22.736
0.058,1.121,6.947,4.121,22.772
0.058,1.121,6.946,4.121,22.808
0.058,1.121,6.946,4.121,22.845
0.058,1.121,6.946,4.121,22.881
0.058,1.121,6.945,4.121,22.917
0.058,1.121,6.945,4.120,22.953
0.058,1.121,6.945,4.120,22.989
0.058,1.121,6.944,4.120,23.026
0.058,1.121,6.944,4.120,23.062
0.058,1.121,6.944,4.120,23.098
0.059,1.121,6.943,4.120,23.134
0.059,1.121,6.943,4.119,23.170
0.059,1.121,6.943,4.119,23.207
0.059,1.121,6.942,4.119,23.243
0.059,1.121,6.942,4.119,23.279
0.059,1.121,6.942,4.119,23.315
0.059,1.121,6.942,4.118,23.351
0.059,1.121,6.941,4.118,23.388
0.059,1.121,6.941,4.118,23.424
0.059,1.121,6.941,4.118,23.460
0.060,1.121,6.941,4.118,23.496
0.060,1.121,6.940,4.118,23.532
0.060,1.122,6.940,4.118,23.568
0.060,1.122,6.940,4.117,23.605
0.060,1.122,6.940,4.117,23.641
0.060,1.122,6.939,4.117,23.677
0.060,1.122,6.939,4.117,23.713
0.060,1.122,6.939,4.117,23.749
0.060,1.122,6.939,4.117,23.785
0.060,1.122,6.939,4.117,23.822
0.061,1.122,6.938,4.116,23.858
0.061,1.123,6.938,4.116,23.894
0.061,1.123,6.938,4.116,23.930
0.061,1.123,6.938,4.116,23.966
0.061,1.123,6.937,4.116,24.002
0.061,1.123,6.937,4.116,24.039
0.061,1.123,6.937,4.116,24.075
0.061,1.123,6.937,4.115,24.111
0.061,1.123,6.937,4.115,24.147
0.061,1.124,6.936,4.115,24.183
0.062,1.124,6.936,4.115,24.219
0.062,1.124,6.936,4.115,24.256
0.062,1.124,6.936,4.115,24.292
0.062,1.124,6.936,4.115,24.328
0.062,1.124,6.936,4.115,24.364
0.062,1.125,6.935,4.115,24.400
0.062,1.125,6.935,4.114,24.436
0.062,1.125,6.935,4.114,24.472
0.062,1.125,6.935,4.114,24.509
0.062,1.125,6.935,4.114,24.545
0.063,1.125,6.935,4.114,24.581
0.063,1.126,6.934,4.114,24.617
0.063,1.126,6.934,4.114,24.653
0.063,1.126,6.934,4.114,24.689
0.063,1.126,6.934,4.114,24.725
0.063,1.126,6.934,4.114,24.761
0.063,1.126,6.934,4.113,24.798
0.063,1.127,6.934,4.113,24.834
0.063,1.127,6.933,4.113,24.870
0.063,1.127,6.933,4.113,24.906
0.064,1.127,6.933,4.113,24.942
0.064,1.127,6.933,4.113,24.978
0.064,1.128,6.933,4.113,25.014
0.064,1.128,6.933,4.113,25.051
0.064,1.128,6.933,4.113,25.087
0.064,1.128,6.933,4.113,25.123
0.064,1.128,6.932,4.113,25.159
0.064,1.129,6.932,4.113,25.195
0.064,1.129,6.932,4.112,25.231
0.064,1.129,6.932,4.112,25.267
0.065,1.129,6.932,4.112,25.303
0.065,1.129,6.932,4.112,25.340
0.065,1.130,6.932,4.112,25.376
0.065,1.130,6.932,4.112,25.412
0.065,1.130,6.932,4.112,25.448
0.065,1.130,6.931,4.112,25.484
0.065,1.130,6.931,4.112,25.520
0.065,1.131,6.931,4.112,25.556
0.065,1.131,6.931,4.112,25.592
0.065,1.131,6.931,4.112,25.628
0.066,1.131,6.931,4.112,25.665
0.066,1.132,6.931,4.111,25.701
0.066,1.132,6.931,4.111,25.737
0.066,1.132,6.931,4.111,25.773
0.066,1.132,6.931,4.111,25.809
0.066,1.132,6.930,4.111,25.845
0.066,1.133,6.930,4.111,25.881
0.066,1.133,6.930,4.111,25.917
0.066,1.133,6.930,4.111,25.954
0.066,1.133,6.930,4.111,25.990
0.067,1.134,6.930,4.111,26.026
0.067,1.134,6.930,4.111,26.062
0.067,1.134,6.930,4.111,26.098
0.067,1.134,6.930,4.111,26.134
0.067,1.134,6.930,4.111,26.170
0.067,1.135,6.930,4.111,26.206
0.067,1.135,6.929,4.111,26.242
0.067,1.135,6.929,4.110,26.278
0.067,1.135,6.929,4.110,26.315
0.067,1.136,6.929,4.110,26.351
0.068,1.136,6.929,4.110,26.387
0.068,1.136,6.929,4.110,26.423
0.068,1.136,6.929,4.110,26.459
0.068,1.137,6.929,4.110,26.495
0.068,1.137,6.929,4.110,26.531
0.068,1.137,6.929,4.110,26.567
0.068,1.137,6.929,4.110,26.603
0.068,1.137,6.929,4.110,26.640
0.068,1.138,6.929,4.110,26.676
0.068,1.138,6.928,4.110,26.712
0.069,1.138,6.928,4.110,26.748
0.069,1.138,6.928,4.110,26.784
0.069,1.139,6.928,4.110,26.820
0.069,1.139,6.928,4.110,26.856
0.069,1.139,6.928,4.110,26.892
0.069,1.139,6.928,4.110,26.928
0.069,1.140,6.928,4.109,26.964
0.069,1.140,6.928,4.109,27.000
0.069,1.140,6.928,4.109,27.037
